Asiakasnro;Y-tunnus;Toimijan nimi1;Toimijan nimi2;TKohdenro;Kohde;Lahiosoite;Postitmp;Toimintaluokka;Toimintaluokan nimi;Toimintatyyppi;Toimintatyypin nimi;Asiakaspaikkojen määrä;Toiminnan aloitus pvm;
3449;1715252-9;ST-Ravintolat Oy;;4737;Ravintola Blue Peter;Vattuniemen puistotie 1;00210 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;483;20.09.2011;
4593;0292640-5;Restavuokraus Oy;;6652;Ravintola Casa Mare;Gyldenintie 6;00200 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;270;20.09.2011;
2983;1479170-4;Helsingin Long River Oy;;4258;Ravintola Long River;Isokaari 44;00200 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;52;20.09.2011;
6589;2253333-4;Susma avoin yhtiö;;9341;Ravintola Lumbini;Vattuniemenranta 2;00210 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;94;20.09.2011;
4892;1510935-9;Two Star Oy;c/o Waheed;7260;Ravintola Mestarikilta;Rahakamarinportti 3;00240 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;144;20.09.2011;
11768;2429492-0;CambianoForma Oy;;17945;KIILA Food&Bar;Mannerheimintie 14;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;250;20.09.2011;
8051;2206341-6;Helsingin Rock and Roll Oy;;6734;Ravintola Ilves;Urho Kekkosen katu 4-6;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;77;22.09.2011;
18584;2775725-7;Fresho Oy;;34161;Salaattiasema Forum;Mannerheimintie 14-20;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;18;19.02.2018;
2789;2029909-7;Adosav Oy;;4061;Ravintola Persilja;Tallbergin puistotie 1;00200 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;83;22.09.2011;
2836;2218126-0;Bo Hao Oy;c/o Ravintola Ratakivi;4108;Ravintola Ratakivi;Ratapihantie 11;00520 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;350;23.09.2011;
4634;0750509-5;Royal Ravintolat Oy;;17266;Strindberg;Pohjoisesplanadi 33;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;410;29.09.2011;
11843;2421815-1;HAO XIN Oy;;18068;Zheng Sushi Bar;Roihuvuorentie 1;00820 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;6;30.09.2011;
20554;2434606-5;SS Meghna;;35127;Pizza House;Paciuksenkaari 14;00270 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;24;;
11466;2402743-5;Zocalo Oy;;17444;Pueblo Bar y Taqueria;Eerikinkatu 27;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;78;10.10.2011;
8646;2290559-9;Sushibar Restaurants Finland Oy;;14977;Sushibar + Wine;Fredrikinkatu 42;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;61;10.10.2011;
7391;2202569-8;San Pedro Tex Mex Oy;;18131;San Pedro Tex-Mex Kamppi;Urho Kekkosen katu 1;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;25;;
11929;2431653-6;Ganapati Oy;;18153;Ravintola Lali Gurans;Vanha Talvitie 2;00580 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;185;18.10.2011;
10998;2372155-6;Fazer Ravintolat Oy;;18155;Fazer Café Citycenter;Kaivokatu 8;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;73;11.10.2011;
11935;2430972-3;Dream Friends Oy;;18165;Ravintola Maharaja;Mannerheimintie 21-23;00250 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;98;01.12.2011;
12011;2406651-4;Trattoria D.O.C. Oy;Il Bucatino;18279;Ravintola Il Bucatino;Tehtaankatu 38;00150 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;62;02.11.2011;
3076;2056431-3;Keep it Coming Oy;c/o Full Time Oy;11775;Café Talo;Hämeentie 2;00530 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;60;25.11.2011;
12171;2425878-6;Yong Kang Oy;;18451;Ravintola FLQ;Tallinnanaukio 4;00930 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;50;28.11.2011;
11527;2008998-9;Maratan-Pippuri;;17511;Ravintola Pippuri;Huovitie 8;00400 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;28;01.12.2011;
20542;2883196-5;Two Fangs Oy;;35107;NORI sushibar;Siltasaarenkatu 12;00530 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;24;;
20535;2846862-5;Korat Tam Tam;;35099;Tam Tam Ravintola;Palokellonkuja 5;00750 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;60;;
